Cod_INEtxt;Cod_iNEok;Mun;F2018Total;SuperfKm2;NOMBRE_ACT;Mun_NomCod;F2018Dens;Var91_18aa;Var91_18;Envejecimi;Bebes;Altitud;Pob18;Evo18;Envj18;Bebes18;M174_18;Pendiente;Alt3;Pend;M174_2018;Alt_0;Pend_0;M174_18_4;Cod_Prov;Envej18_2;Env2;Dif_env;M174_3;Dif_M174;M174_3_4;Dif_4;SSPA
16234;16234;16234-Valsalobre;28,00000000000;38,08330100000;Valsalobre;16234;0,73523038352;-3,67735077877;-63,63636363640;0,00000000000;0,00000000000;1225,00000000000;3;3;3;3;15;10,87000000000;3;1;16;3;1;4;16;3;2000,00000000000;0;16;0;4;0;1
16237;16237;16237-Valverdejo;102,00000000000;32,47264800000;Valverdejo;16237;3,14110509251;-1,72122722734;-37,42331288340;780,00000000000;1,96078431373;867,00000000000;3;3;3;2;13;4,19000000000;2;1;14;2;1;3;16;3;780,00000000000;0;14;0;3;0;1
16238;16238;16238-Vara de Rey;501,00000000000;127,87611600000;Vara de Rey;16238;3,91785437087;-1,75913160209;-38,07169344870;625,00000000000;1,19760479042;822,00000000000;3;3;2;3;13;3,92000000000;2;1;14;2;1;3;16;3;625,00000000000;-1;15;1;4;1;1
16239;16239;16239-Vega del Codorno;134,00000000000;32,26520000000;Vega del Codorno;16239;4,15308133841;-2,57471487745;-50,55350553510;650,00000000000;1,49253731343;1344,00000000000;3;3;3;3;15;16,05000000000;3;2;17;3;2;4;16;3;650,00000000000;0;17;0;4;0;1
16240;16240;16240-Vellisca;100,00000000000;42,97879000000;Vellisca;16240;2,32672906799;-2,81195993873;-53,70370370370;0,00000000000;0,00000000000;943,00000000000;3;3;3;3;14;8,75000000000;2;1;15;2;1;4;16;3;3800,00000000000;0;15;0;4;0;1
16242;16242;16242-Villaconejos de Trabaque;348,00000000000;31,85600100000;Villaconejos de Trabaque;16242;10,92415837130;-1,87416177944;-40,00000000000;375,00000000000;2,87356321839;813,00000000000;3;3;2;2;12;9,00000000000;2;1;13;2;1;3;16;2;375,00000000000;0;13;0;3;0;1
16243;16243;16243-Villaescusa de Haro;470,00000000000;93,19849300000;Villaescusa de Haro;16243;5,04299999786;-0,98497713341;-23,45276872960;516,66666666700;1,48936170213;824,00000000000;3;2;2;3;12;6,24000000000;2;1;13;2;1;3;16;3;516,66666666700;-1;14;1;3;0;1
16244;16244;16244-Villagarc├¡a del Llano;745,00000000000;116,83962200000;Villagarc├¡a del Llano;16244;6,37626164179;-1,09166085671;-25,64870259480;416,66666666700;1,61073825503;728,00000000000;3;2;1;3;11;2,52000000000;2;1;12;2;1;2;16;2;416,66666666700;0;13;1;3;1;1
16245;16245;16245-Villalba de la Sierra;476,00000000000;41,23830000000;Villalba de la Sierra;16245;11,54266785970;-0,45245740945;-11,52416356880;412,50000000000;0,84033613445;994,00000000000;3;2;2;3;12;16,12000000000;2;2;14;2;2;3;16;2;412,50000000000;0;14;0;3;0;1
16246;16246;16246-Villalba del Rey;515,00000000000;95,07019900000;Villalba del Rey;16246;5,41704977393;-1,63621567277;-35,94527363180;666,66666666700;0,58252427185;787,00000000000;3;3;2;3;13;8,39000000000;2;1;14;2;1;3;16;3;666,66666666700;-1;15;1;4;1;1
16247;16247;16247-Villalgordo del Marquesado;76,00000000000;30,29707500000;Villalgordo del Marquesado;16247;2,50849298158;-3,27973428890;-59,35828877010;3400,00000000000;1,31578947368;857,00000000000;3;3;2;3;13;5,48000000000;2;1;14;2;1;3;16;3;3400,00000000000;-1;15;1;4;1;1
44028;44028;44028-Argente;198,00000000000;62,57602700000;Argente;44028;3,16415102544;-1,51498662645;-33,77926421400;450,00000000000;2,02020202020;1252,00000000000;3;3;3;2;14;6,52000000000;3;1;15;3;1;4;44;2;450,00000000000;0;14;-1;3;-1;1
44029;44029;44029-Ari├▒o;708,00000000000;81,92778900000;Ari├▒o;44029;8,64175646190;-1,10611051495;-25,94142259410;216,66666666700;3,10734463277;522,00000000000;3;2;2;2;11;18,14000000000;1;2;12;1;2;2;44;2;216,66666666700;0;12;0;2;0;1
44031;44031;44031-Azaila;94,00000000000;81,43604000000;Azaila;44031;1,15428009515;-3,45650395751;-61,31687242800;1025,00000000000;1,06382978723;281,00000000000;3;3;3;3;13;4,73000000000;1;1;14;1;1;3;44;3;1025,00000000000;0;14;0;3;0;1
44032;44032;44032-B├ídenas;20,00000000000;31,30836100000;B├ídenas;44032;0,63880699472;-1,36673550789;-31,03448275860;300,00000000000;5,00000000000;999,00000000000;3;3;3;1;12;18,05000000000;2;2;14;2;2;3;44;2;300,00000000000;0;13;-1;3;0;1
44033;44033;44033-B├íguena;311,00000000000;25,17092200000;B├íguena;44033;12,35552674630;-2,54612695418;-50,16025641030;694,73684210500;1,28617363344;798,00000000000;3;3;3;3;14;13,93000000000;2;1;15;2;1;4;44;3;694,73684210500;0;15;0;4;0;1
44034;44034;44034-Ba├▒├│n;153,00000000000;54,27483800000;Ba├▒├│n;44034;2,81898584386;-1,43441678437;-32,30088495580;476,92307692300;3,26797385621;1135,00000000000;3;3;3;2;14;9,17000000000;3;1;15;3;1;4;44;2;476,92307692300;0;14;-1;3;-1;1
44035;44035;44035-Barrachina;118,00000000000;24,85691300000;Barrachina;44035;4,74717033447;-1,93522471920;-41,00000000000;683,33333333300;0,00000000000;1047,00000000000;3;3;3;3;15;12,26000000000;3;1;16;3;1;4;44;3;683,33333333300;0;16;0;4;0;1
44036;44036;44036-Bea;31,00000000000;23,36792600000;Bea;44036;1,32660468028;0,37768437858;10,71428571430;175,00000000000;0,00000000000;1136,00000000000;3;1;3;3;13;17,57000000000;3;2;15;3;2;4;44;1;175,00000000000;0;13;-2;3;-1;1
44037;44037;44037-Beceite;541,00000000000;96,72183900000;Beceite;44037;5,59335932395;-0,95499808882;-22,82453637660;290,90909090900;3,51201478743;580,00000000000;3;2;3;2;12;34,58000000000;1;3;14;1;3;3;44;2;290,90909090900;0;13;-1;3;0;1
